127.0.0.1 - - [24/Jul/2018:15:02:05 -0300] "GET /insta/ HTTP/1.1" 200 1654
127.0.0.1 - - [24/Jul/2018:15:02:06 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:12 -0300] "POST /insta/insere_Fotos.php?id= HTTP/1.1" 200 241
127.0.0.1 - - [24/Jul/2018:15:02:13 -0300] "GET /insta/index.php HTTP/1.1" 200 1654
127.0.0.1 - - [24/Jul/2018:15:02:13 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/lista_Fotos.php HTTP/1.1" 200 2798
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018095036.jpg HTTP/1.1" 200 76566
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018113923.jpg HTTP/1.1" 200 91692
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018093952.jpg HTTP/1.1" 200 58615
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018114103.jpg HTTP/1.1" 200 10397
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018030212.jpg HTTP/1.1" 200 173632
127.0.0.1 - - [24/Jul/2018:15:02:14 -0300] "GET /insta/img_imo/24072018010001.jpg HTTP/1.1" 200 613862
127.0.0.1 - - [24/Jul/2018:15:02:21 -0300] "GET /insta/apagar_Fotos.php?id=35 HTTP/1.1" 200 329
127.0.0.1 - - [24/Jul/2018:15:02:22 -0300] "GET /insta/lista_Fotos.php HTTP/1.1" 200 2473
127.0.0.1 - - [24/Jul/2018:15:02:22 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:22 -0300] "GET /insta/img_imo/24072018113923.jpg HTTP/1.1" 200 91692
127.0.0.1 - - [24/Jul/2018:15:02:22 -0300] "GET /insta/img_imo/24072018114103.jpg HTTP/1.1" 200 10397
127.0.0.1 - - [24/Jul/2018:15:02:26 -0300] "GET /insta/apagar_Fotos.php?id=34 HTTP/1.1" 200 329
127.0.0.1 - - [24/Jul/2018:15:02:27 -0300] "GET /insta/lista_Fotos.php HTTP/1.1" 200 2148
127.0.0.1 - - [24/Jul/2018:15:02:27 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:29 -0300] "GET /insta/apagar_Fotos.php?id=30 HTTP/1.1" 200 329
127.0.0.1 - - [24/Jul/2018:15:02:30 -0300] "GET /insta/lista_Fotos.php HTTP/1.1" 200 1823
127.0.0.1 - - [24/Jul/2018:15:02:30 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:32 -0300] "GET /insta/apagar_Fotos.php?id=31 HTTP/1.1" 200 329
127.0.0.1 - - [24/Jul/2018:15:02:33 -0300] "GET /insta/lista_Fotos.php HTTP/1.1" 200 1498
127.0.0.1 - - [24/Jul/2018:15:02:33 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
127.0.0.1 - - [24/Jul/2018:15:02:34 -0300] "GET /insta/index.php HTTP/1.1" 200 1654
127.0.0.1 - - [24/Jul/2018:15:02:34 -0300] "GET /insta/css/styles.css HTTP/1.1" 404 218
